library name,text,rodata,data,bss,code,flash,ram
lib\libhal.a,13152,2876,111,678,16028,16139,789
lib\libkernel.a,22008,1133,14,76470,23141,23155,76484
lib\libaudio.a,12200,2340,48,1638,14540,14588,1686
lib\libdriver.a,83672,12308,1458,6038,95980,97438,7496
lib\libosi_lib.a,8092,282,0,74201,8374,8374,74201
..\..\components\newlib\armca5\libc.a,46176,2976,1534,47,49152,50686,1581
..\..\components\ql-kernel\libs\liboql_api_audio.a,14484,11470,68,179,25954,26022,247
..\..\components\ql-kernel\libs\liboql_api_power.a,3554,735,42,41,4289,4331,83
..\..\components\ql-kernel\libs\liboql_gnss.a,1790,492,0,496,2282,2282,496
..\..\components\ql-kernel\libs\libq_modem.a,864,285,0,32,1149,1149,32
..\..\components\ql-kernel\libs\libql_api_adc.a,500,45,2,0,545,547,2
..\..\components\ql-kernel\libs\libql_api_ble.a,7042,1159,0,16,8201,8201,16
..\..\components\ql-kernel\libs\libql_api_ble_gatt.a,16314,2469,180,75,18783,18963,255
..\..\components\ql-kernel\libs\libql_api_bt.a,2890,536,0,0,3426,3426,0
..\..\components\ql-kernel\libs\libql_api_bt_ble.a,2916,1045,0,162,3961,3961,162
..\..\components\ql-kernel\libs\libql_api_bt_hfp.a,3378,678,60,26,4056,4116,86
..\..\components\ql-kernel\libs\libql_api_bt_sdp.a,520,252,4,0,772,776,4
..\..\components\ql-kernel\libs\libql_api_bt_spp.a,834,250,16,14,1084,1100,30
..\..\components\ql-kernel\libs\libql_api_common.a,1208,114,17,118,1322,1339,135
..\..\components\ql-kernel\libs\libql_api_datacall.a,15528,3185,30,1910,18713,18743,1940
..\..\components\ql-kernel\libs\libql_api_dev.a,2212,376,11,4,2588,2599,15
..\..\components\ql-kernel\libs\libql_api_fota.a,2096,773,2,0,2869,2871,2
..\..\components\ql-kernel\libs\libql_api_fs.a,11188,2511,188,24,13699,13887,212
..\..\components\ql-kernel\libs\libql_api_ftp.a,7408,800,12,0,8208,8220,12
..\..\components\ql-kernel\libs\libql_api_gpio.a,3928,519,0,256,4447,4447,256
..\..\components\ql-kernel\libs\libql_api_http.a,2728,188,0,4,2916,2916,4
..\..\components\ql-kernel\libs\libql_api_i2c.a,1472,125,36,0,1597,1633,36
..\..\components\ql-kernel\libs\libql_api_keypad.a,436,100,36,0,536,572,36
..\..\components\ql-kernel\libs\libql_api_mqtt.a,3608,283,0,24,3891,3891,24
..\..\components\ql-kernel\libs\libql_api_nw.a,20080,11019,1094,1676,31099,32193,2770
..\..\components\ql-kernel\libs\libql_api_osi.a,7132,1330,12,56,8462,8474,68
..\..\components\ql-kernel\libs\libql_api_pbk.a,8198,1483,816,7221,9681,10497,8037
..\..\components\ql-kernel\libs\libql_api_pwm.a,1416,535,96,5,1951,2047,101
..\..\components\ql-kernel\libs\libql_api_rtc.a,1578,307,76,28,1885,1961,104
..\..\components\ql-kernel\libs\libql_api_sdmmc.a,1646,191,0,8,1837,1837,8
..\..\components\ql-kernel\libs\libql_api_sim.a,10562,1711,96,102,12273,12369,198
..\..\components\ql-kernel\libs\libql_api_sms.a,8824,875,0,20,9699,9699,20
..\..\components\ql-kernel\libs\libql_api_spi.a,3860,533,0,96,4393,4393,96
..\..\components\ql-kernel\libs\libql_api_spi6_ext_nor_flash.a,108,32,0,0,140,140,0
..\..\components\ql-kernel\libs\libql_api_spi_flash.a,292,76,0,20,368,368,20
..\..\components\ql-kernel\libs\libql_api_spi_nand_flash.a,1794,185,0,1,1979,1979,1
..\..\components\ql-kernel\libs\libql_api_spi_nor_flash.a,2428,286,8,13,2714,2722,21
..\..\components\ql-kernel\libs\libql_api_ss.a,1848,404,6,14,2252,2258,20
..\..\components\ql-kernel\libs\libql_api_uart.a,5034,1373,52,192,6407,6459,244
..\..\components\ql-kernel\libs\libql_api_usb.a,1036,243,0,32,1279,1279,32
..\..\components\ql-kernel\libs\libql_api_virt_at.a,1272,238,0,44,1510,1510,44
..\..\components\ql-kernel\libs\libql_api_voice_call.a,4912,952,80,4,5864,5944,84
..\..\components\ql-kernel\libs\libql_api_volte.a,1396,277,0,6,1673,1673,6
..\..\components\ql-kernel\libs\libql_apptcpip.a,1466,0,0,4992,1466,1466,4992
..\..\components\ql-kernel\libs\libql_at.a,49650,11536,832,1729,61186,62018,2561
..\..\components\ql-kernel\libs\libql_at_table.a,10960,11677,0,3340,22637,22637,3340
..\..\components\ql-kernel\libs\libql_bsp.a,6542,1368,32,644,7910,7942,676
..\..\components\ql-kernel\libs\libql_curl.a,99296,26270,32,217,125566,125598,249
..\..\components\ql-kernel\libs\libql_ext_codec.a,70,0,0,0,70,70,0
..\..\components\ql-kernel\libs\libql_fatfs_ex.a,2916,607,0,328,3523,3523,328
..\..\components\ql-kernel\libs\libql_file.a,5828,654,16,0,6482,6498,16
..\..\components\ql-kernel\libs\libql_ftp.a,13660,1911,0,0,15571,15571,0
..\..\components\ql-kernel\libs\libql_gnss_aux.a,12858,6426,14,468,19284,19298,482
..\..\components\ql-kernel\libs\libql_http.a,16276,2366,90,13,18642,18732,103
..\..\components\ql-kernel\libs\libql_mqtt.a,14444,1435,0,16,15879,15879,16
..\..\components\ql-kernel\libs\libql_net.a,12058,1797,0,126,13855,13855,126
..\..\components\ql-kernel\libs\libql_ntp.a,4022,687,0,12,4709,4709,12
..\..\components\ql-kernel\libs\libql_ping.a,3452,575,0,12,4027,4027,12
..\..\components\ql-kernel\libs\libql_power.a,3294,900,100,70,4194,4294,170
..\..\components\ql-kernel\libs\libql_urc.a,2150,0,0,2,2150,2150,2
..\..\components\ql-kernel\libs\libql_utils.a,1452,213,108,0,1665,1773,108
..\..\components\ql-kernel\libs\libquectel.a,456,217,4,4,673,677,8
..\..\prebuilts\win32\gcc-arm-none-eabi\lib\gcc\arm-none-eabi\7.2.1\thumb\v7-ar\fpv3\hard\libgcc.a,2860,0,0,0,2860,2860,0
lib\libapploader.a,764,7657,4,16,8421,8425,20
libappstart.a,2094,529,0,27,2623,2623,27
lib\libatr.a,8358,11422,0,18904,19780,19780,18904
lib\libats.a,91782,46662,90,9679,138444,138534,9769
lib\libaudio_core.a,136240,94589,0,0,230829,230829,0
lib\libbdev.a,698,0,0,0,698,698,0
lib\libbdev_core.a,2886,20,0,0,2906,2906,0
lib\libblueu_core.a,195782,47998,1813,3825,243780,245593,5638
lib\libboot_ex_ql_pin.a,0,1,152,1,1,153,153
lib\libboot_ex_spi6nor.a,1144,308,114,30,1452,1566,144
lib\libbt_app.a,244816,3711,46,8966,248527,248573,9012
lib\libbt_nv.a,64,0,0,0,64,64,0
lib\libcalclib.a,2340,79,0,0,2419,2419,0
lib\libcalclib_crc.a,296,1280,0,0,1576,1576,0
lib\libcfw.a,1568,8584,0,4,10152,10152,4
lib\libcfw_core.a,24394,490,0,18,24884,24884,18
lib\libdiag.a,4676,889,0,584,5565,5565,584
lib\libdriver_camera.a,692,43,1,88,735,736,89
lib\libdriver_charge_adc.a,5628,1649,78,264,7277,7355,342
lib\libdriver_core.a,7920,394,8,4575,8314,8322,4583
lib\libdrv_host.a,1450,0,0,0,1450,1450,0
lib\libfatfs.a,4310,1017,116,24,5327,5443,140
lib\libfatfs_core.a,11474,410,0,18,11884,11884,18
lib\libfs.a,4908,389,192,136,5297,5489,328
lib\libfs_partinfo.a,368,0,0,0,368,368,0
lib\libfsmount.a,1272,38,1,8,1310,1311,9
lib\libfupdate_core.a,2584,48,12,0,2632,2644,12
lib\libfupdate_security_app.a,104,0,0,0,104,104,0
lib\libhal_prop.a,1014,2393,468,376,3407,3875,844
lib\liblcdpanel.a,2802,226,16,0,3028,3044,16
lib\liblwip.a,120746,21399,28,65166,142145,142173,65194
lib\libmal.a,644,57,0,4,701,701,4
lib\libmbedtls.a,159030,55453,87,9398,214483,214570,9485
lib\libml.a,1674,16452,168,4,18126,18294,172
lib\libnanopb.a,5168,554,0,0,5722,5722,0
lib\libnet.a,17610,3609,90,11741,21219,21309,11831
lib\libnvm.a,2710,1485,0,4,4195,4195,4
lib\liboql_core_drv.a,604,1531,388,0,2135,2523,388
lib\liboql_core_virt_func.a,452,0,0,5,452,452,5
lib\libosi_core.a,6572,7,0,125,6579,6579,125
lib\libql_open_at.a,288,225,0,0,513,513,0
lib\libql_spi4_nor_prop.a,24,0,160,0,24,184,160
lib\librpc_core.a,2796,23000,0,4,25796,25796,4
lib\libservice.a,30336,3477,12,8836,33813,33825,8848
lib\libsffs_core.a,23804,228,8,0,24032,24040,8
